FL_DATE,AIRLINE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,Optimized_CRS_DEP_TIME
2023-08-31,Delta Air Lines Inc.,2602,MIA,RDU,2025,1944
2023-08-31,Alaska Airlines Inc.,547,BOS,SFO,700,804
2023-08-31,Endeavor Air Inc.,5225,MGM,ATL,1835,1911
2023-08-31,Southwest Airlines Co.,2282,BWI,PBI,1900,1940
2023-08-31,Southwest Airlines Co.,2206,LAS,SBA,2035,2130
2023-08-31,American Airlines Inc.,632,MCO,PHL,710,709
2023-08-31,Southwest Airlines Co.,3401,CLT,BWI,735,900
2023-08-31,American Airlines Inc.,1903,CLT,MCI,2232,2204
2023-08-31,Frontier Airlines Inc.,1170,MCO,PHL,1824,1947
2023-08-31,Southwest Airlines Co.,867,AUS,ATL,1600,1735
2023-08-31,Southwest Airlines Co.,4795,MDW,SAT,945,912
2023-08-31,Hawaiian Airlines Inc.,184,LIH,HNL,1025,1105
2023-08-31,United Air Lines Inc.,616,ORD,DCA,1355,1234
2023-08-31,Spirit Air Lines,1244,DEN,LAS,945,1010
2023-08-31,Republic Airline,5791,LGA,PWM,945,936
2023-08-31,American Airlines Inc.,1562,MIA,DFW,700,709
2023-08-31,American Airlines Inc.,1615,CLT,MCI,1615,1646
2023-08-31,Republic Airline,5592,LGA,CMH,1210,1306
2023-08-31,JetBlue Airways,69,BOS,FLL,1231,1222
2023-08-31,Southwest Airlines Co.,3262,PHX,SMF,835,926
2023-08-31,Endeavor Air Inc.,5254,PWM,JFK,551,514
2023-08-31,Alaska Airlines Inc.,1176,SEA,SAN,1150,918
2023-08-31,Delta Air Lines Inc.,2771,ATL,DAY,2225,2258
2023-08-31,United Air Lines Inc.,671,DEN,BZN,1142,1221
2023-08-31,Spirit Air Lines,612,LAS,MSP,1630,1636
2023-08-31,American Airlines Inc.,2070,SDF,CLT,1209,1115
2023-08-31,American Airlines Inc.,2934,CLT,SAT,1458,1500
2023-08-31,American Airlines Inc.,2307,PHX,RDU,1540,1612
2023-08-31,American Airlines Inc.,873,BOS,MIA,843,929
2023-08-31,Alaska Airlines Inc.,638,PDX,LAS,1110,1130
2023-08-31,American Airlines Inc.,2709,DFW,PSP,1925,2157
2023-08-31,Alaska Airlines Inc.,19,JFK,PDX,1145,1209
2023-08-31,United Air Lines Inc.,658,MSP,ORD,1715,1809
2023-08-31,Southwest Airlines Co.,5337,LAS,BNA,1205,1400
2023-08-31,Spirit Air Lines,1109,MCO,IND,2133,1936
2023-08-31,Endeavor Air Inc.,4904,LGA,BGR,945,800
2023-08-31,Republic Airline,5844,LGA,BOS,1100,953
2023-08-31,American Airlines Inc.,2633,MIA,PHX,2101,2300
2023-08-31,Delta Air Lines Inc.,2110,SEA,SAN,1940,2025
2023-08-31,Spirit Air Lines,1053,ATL,FLL,1845,1745
2023-08-31,Alaska Airlines Inc.,1014,SEA,GEG,2255,2247
2023-08-31,Delta Air Lines Inc.,1384,MSP,SFO,949,844
2023-08-31,Spirit Air Lines,195,MCO,FLL,815,652
2023-08-31,United Air Lines Inc.,2416,LAS,SFO,2005,1949
2023-08-31,Spirit Air Lines,759,ORD,LAS,2155,2051
2023-08-31,United Air Lines Inc.,1312,EWR,SFO,800,649
2023-08-31,American Airlines Inc.,2679,DFW,SRQ,1220,1316
2023-08-31,JetBlue Airways,2273,EWR,TPA,2030,2056
2023-08-31,Southwest Airlines Co.,1475,ORD,DAL,1720,1958
2023-08-31,Spirit Air Lines,1292,LAS,IAH,1659,1612
2023-08-31,Delta Air Lines Inc.,2579,ONT,SEA,1130,1407
2023-08-31,Spirit Air Lines,3160,MIA,CLE,1413,1235
2023-08-31,Spirit Air Lines,591,LAX,IAH,1915,1920
2023-08-31,Alaska Airlines Inc.,1074,PDX,SAN,600,634
2023-08-31,JetBlue Airways,591,BOS,TPA,1028,936
2023-08-31,Delta Air Lines Inc.,2205,SEA,JNU,1959,2024
2023-08-31,American Airlines Inc.,2321,RSW,CLT,1609,1617
2023-08-31,United Air Lines Inc.,731,SFO,PHX,1036,933
2023-08-31,Delta Air Lines Inc.,1043,SAT,LAX,1541,1335
2023-08-31,United Air Lines Inc.,656,ORD,ALB,1824,1815
2023-08-31,American Airlines Inc.,2535,SAN,DFW,712,839
2023-08-31,American Airlines Inc.,436,CLT,TPA,1116,1203
2023-08-31,Southwest Airlines Co.,948,BWI,DEN,1845,1857
2023-08-31,United Air Lines Inc.,648,DEN,RSW,941,1008
2023-08-31,Allegiant Air,3210,AZA,PVU,1534,1533
2023-08-31,Southwest Airlines Co.,207,DEN,PDX,1830,1912
2023-08-31,JetBlue Airways,1855,BOS,DCA,1200,1339
2023-08-31,Frontier Airlines Inc.,2084,SFO,LAS,1858,1833
2023-08-31,SkyWest Airlines Inc.,5033,ORD,CMX,1605,1620
2023-08-31,Delta Air Lines Inc.,2360,BZN,MSP,1126,851
2023-08-31,American Airlines Inc.,2042,CLT,ECP,946,724
2023-08-31,Republic Airline,5763,CLT,BOS,710,711
2023-08-31,Frontier Airlines Inc.,2007,AUS,LAS,1212,1205
2023-08-31,Spirit Air Lines,1505,FLL,PIT,2115,2310
2023-08-31,Southwest Airlines Co.,985,OAK,SEA,2040,2032
2023-08-31,Southwest Airlines Co.,4835,SMF,LAS,1845,1805
2023-08-31,Spirit Air Lines,371,FLL,BQN,2244,2226
2023-08-31,Allegiant Air,3240,PVU,SNA,1153,1119
2023-08-31,SkyWest Airlines Inc.,5036,DEN,VEL,906,811
2023-08-31,Southwest Airlines Co.,198,LAS,LAX,2220,2243
2023-08-31,Frontier Airlines Inc.,1015,MCO,ATL,1011,1035
2023-08-31,Allegiant Air,2825,GSP,SFB,1735,1536
2023-08-31,Spirit Air Lines,191,LAS,OAK,1121,1333
2023-08-31,Frontier Airlines Inc.,1651,PHL,RDU,1237,1229
2023-08-31,United Air Lines Inc.,1939,EWR,PBI,925,914
2023-08-31,American Airlines Inc.,1766,PHX,SAN,1719,1608
2023-08-31,Southwest Airlines Co.,925,SJC,LAS,1825,1940
2023-08-31,Delta Air Lines Inc.,2190,SLC,LAS,1848,1804
2023-08-31,United Air Lines Inc.,1309,EWR,BNA,1130,955
2023-08-31,American Airlines Inc.,457,MCO,MIA,1735,1715
2023-08-31,JetBlue Airways,472,FLL,LGA,1744,1808
2023-08-31,Envoy Air,3651,ORD,CVG,2030,2112
2023-08-31,American Airlines Inc.,436,TPA,CLT,1348,1243
2023-08-31,SkyWest Airlines Inc.,3350,SBP,SEA,1051,1123
2023-08-31,United Air Lines Inc.,1340,FLL,EWR,1101,932
2023-08-31,Southwest Airlines Co.,433,DEN,ABQ,1940,2121
2023-08-31,Southwest Airlines Co.,1919,MSY,MCO,1600,1653
2023-08-31,United Air Lines Inc.,590,BWI,ORD,1741,1611
2023-08-31,Allegiant Air,23,LAS,LRD,1649,1633
2023-08-31,SkyWest Airlines Inc.,3315,SFO,PDX,945,855
2023-08-31,American Airlines Inc.,1789,MIA,LAS,2009,1953
2023-08-31,PSA Airlines Inc.,5621,GSP,PHL,802,814
2023-08-31,United Air Lines Inc.,778,DEN,BZN,1919,2016
2023-08-31,Spirit Air Lines,137,MYR,MCO,1840,1732
2023-08-31,Hawaiian Airlines Inc.,197,KOA,HNL,1050,1037
2023-08-31,American Airlines Inc.,2294,PHX,PSP,1015,1024
2023-08-31,United Air Lines Inc.,2409,TPA,EWR,800,927
2023-08-31,Alaska Airlines Inc.,763,PHX,SEA,1955,2146
2023-08-31,Southwest Airlines Co.,3709,SJC,HNL,1330,1342
2023-08-31,American Airlines Inc.,1962,CLT,PIT,2232,2149
2023-08-31,American Airlines Inc.,2127,MCO,MIA,2030,2153
2023-08-31,United Air Lines Inc.,652,ATL,IAH,1508,1319
2023-08-31,United Air Lines Inc.,2259,MCO,ORD,1804,1836
2023-08-31,Southwest Airlines Co.,2470,RIC,MDW,1300,1311
2023-08-31,Allegiant Air,1589,PVU,LAX,1438,1444
2023-08-31,Envoy Air,3325,PIT,MIA,1400,1247
2023-08-31,Southwest Airlines Co.,1981,DEN,SMF,1740,1756
2023-08-31,Southwest Airlines Co.,1967,BWI,BOS,1030,821
2023-08-31,Southwest Airlines Co.,851,STL,LGA,1450,1612
2023-08-31,Southwest Airlines Co.,706,MCO,DAL,1520,1147
2023-08-31,American Airlines Inc.,2871,ATL,MIA,1756,1741
2023-08-31,Southwest Airlines Co.,2948,LAS,SAN,1645,1620
2023-08-31,Southwest Airlines Co.,1981,BNA,DEN,1510,1607
2023-08-31,Spirit Air Lines,201,FLL,STT,1341,1118
2023-08-31,American Airlines Inc.,2070,CLT,SDF,1002,814
2023-08-31,SkyWest Airlines Inc.,5471,RDD,SFO,2057,2149
2023-08-31,American Airlines Inc.,1077,MIA,AUS,2115,2234
2023-08-31,United Air Lines Inc.,1888,ORD,ABQ,930,919
2023-08-31,Southwest Airlines Co.,2927,AUS,LAS,1855,1710
2023-08-31,JetBlue Airways,2514,LGA,ATL,2045,1900
2023-08-31,American Airlines Inc.,536,CLT,ORD,1636,1638
2023-08-31,SkyWest Airlines Inc.,3469,SBP,PDX,1635,1711
2023-08-31,Spirit Air Lines,198,FLL,MCO,830,832
2023-08-31,Southwest Airlines Co.,649,LAX,BWI,1645,1824
2023-08-31,Southwest Airlines Co.,744,OMA,DEN,2025,2126
2023-08-31,Southwest Airlines Co.,834,MKE,DEN,1320,1201
2023-08-31,Southwest Airlines Co.,483,FLL,BWI,1900,1846
2023-08-31,Southwest Airlines Co.,3042,SJC,SAN,700,907
2023-08-31,American Airlines Inc.,2905,CLT,TPA,1459,1234
